,agonistic,black_box,construction,enrollment,inscription,militar,network,proposition,spokesperson,textil,topologia,translation
agonistic,0,6,46,0,7,14,0,0,0,2,9,0
black_box,6,0,2,0,4,0,0,0,0,0,2,0
construction,46,2,0,0,90,15,51,0,0,8,89,4
enrollment,0,0,0,0,0,1,0,0,0,0,0,0
inscription,7,4,90,0,0,8,20,1,0,10,43,0
militar,14,0,15,1,8,0,2,0,0,0,12,0
network,0,0,51,0,20,2,0,0,0,2,49,0
proposition,0,0,0,0,1,0,0,0,0,0,8,0
spokesperson,0,0,0,0,0,0,0,0,0,0,0,0
textil,2,0,8,0,10,0,2,0,0,0,19,0
topologia,9,2,89,0,43,12,49,8,0,19,0,2
translation,0,0,4,0,0,0,0,0,0,0,2,0
