feature,chi2,p,n_target,n_reference,sign
som,6357.627826876522,0,96,3,positive
den,5401.475894984744,0,84,5,positive
det,2980.196207601451,0,47,3,positive
til,2900.0095480855684,0,43,0,positive
har,2705.3862994245783,0,43,3,positive
fra,2692.8063538935185,0,40,0,positive
mot,2589.1558828326633,0,43,5,positive
pil,2487.2654409862366,0,38,1,positive
denne,2209.3833015224695,0,33,0,positive
seg,2073.575013360113,0,32,1,positive
viser,1474.2592224979603,0,25,3,positive
markert,1385.021801795586,0,22,1,positive
venstre,1380.8991470402507,0,21,0,positive
sentrale,1311.880877026549,0,20,0,positive
eller,1247.561894306187,0,20,1,positive
ikke,1247.561894306187,0,20,1,positive
till,1203.1901123720268,0,21,3,positive
heter,1173.8609343714515,0,18,0,positive
skjegg,1173.8609343714515,0,18,0,positive
vender,1173.8609343714515,0,18,0,positive
flekk,1104.8609203927938,0,17,0,positive
rett,1104.8609203927938,0,17,0,positive
xxx,1056.3650842188465,0,39,54,positive
pila,1035.8689959829032,0,16,0,positive
siden,1035.8689959829032,0,16,0,positive
figuren,988.733332878498,0,21,8,positive
ave,976.2754046909074,0,19,5,positive
hver,935.7567699512625,0,19,6,positive
disse,917.3435549024807,0,16,2,positive
sier,898.3560505425662,0,19,7,positive
antropologen,897.9156359074215,0,14,0,positive
artikkel,897.9156359074215,0,14,0,positive
piler,836.2614151456897,0,14,1,positive
ansiktet,822.528921719377,0,16,4,positive
peker,760.0184776362175,0,12,0,positive
strek,760.0184776362175,0,12,0,positive
vei,760.0184776362175,0,12,0,positive
forskjellige,699.7926068157952,0,12,1,positive
artikler,691.0999862137375,0,11,0,positive
figur,691.0999862137375,0,11,0,positive
kalle,622.2092435498846,0,10,0,positive
retn,622.2092435498846,0,10,0,positive
tykk,622.2092435498846,0,10,0,positive
tre,603.4369521670062,0,12,3,positive
samme,563.9234236403464,0,10,1,positive
flekke,553.3552216501089,0,9,0,positive
mend,553.3552216501089,0,9,0,positive
pilene,553.3552216501089,0,9,0,positive
linje,515.3543021183984,0,10,2,positive
skisse,496.32549662656913,0,9,1,positive
