grupo,n_ocorrencias,n_excluidas,frequencia_por_10k_palavras,variantes_top
trajetoria_passe,433,0,22.27,"continuity(92), hiatus(65), trajectory(61), discontinuities(50), leap(40)"
modernos,397,0,20.42,"moderns(315), modernization(30), modernism(27), modernity(13), modernizing(12)"
categorias_dominio,281,0,14.45,"crossing(99), domain(64), category mistake(43), domains(28), category mistakes(25)"
experiencia,276,0,14.19,"experience(233), experiences(21), empirical(16), experienced(5), experiential(1)"
instituicao,227,0,11.67,"institution(107), institutions(85), instituted(16), institute(13), instituting(5)"
modos_existencia,167,0,8.59,"mode of existence(80), modes of existence(69), modes
of existence(4), mode
of existence(3), modes of
existence(2)"
alteracao,112,0,5.76,"alteration(53), being-as-other(28), alterations(17), altered(7), altering(2)"
felicidade,92,0,4.73,"felicity(64), infelicity(28)"
diplomacia,84,0,4.32,"diplomacy(20), diplomatic(17), negotiations(11), negotiate(8), negotiation(8)"
preposicao,71,0,3.65,"prepositions(41), preposition(27), prepositional(3)"
gaia,52,0,2.67,"gaia(17), ecology(11), climate(8), climatologist(6), ecological(4)"
valores,22,0,1.13,"qualify(15), value system(4), qualify values(3)"
