obra,pagina,estrato,classe_predita,qualidade_predita,n_palavras_pagina,trecho_inicio,trecho_meio,trecho_fim,estrato_correto,classe_correta,erro_extracao,decisao_metodologica
latour_1999_pandora_en,2,corpo,corpo,boa,23,"' PANDORA S HOPE ESSAYS ON THE REALITY OF SCIENCE STUDIES Bruno Latour HARVARD UNIV ERSITY PRESS Cambridge, Massachusetts London, England 1 999","ESSAYS ON THE REALITY OF SCIENCE STUDIES Bruno Latour HARVARD UNIV ERSITY PRESS Cambridge, Massachusetts London, England 1 999","' PANDORA S HOPE ESSAYS ON THE REALITY OF SCIENCE STUDIES Bruno Latour HARVARD UNIV ERSITY PRESS Cambridge, Massachusetts London, England 1 999",,,,
latour_1999_pandora_en,4,corpo,corpo,boa,13,"To Shirley Strum, Donna Haraway, Steve Glickman, and their baboons, cyborgs, and hyenas","To Shirley Strum, Donna Haraway, Steve Glickman, and their baboons, cyborgs, and hyenas","To Shirley Strum, Donna Haraway, Steve Glickman, and their baboons, cyborgs, and hyenas",,,,
latour_1999_pandora_en,3,corpo,corpo,boa,68,"Copyright © 1999 by the President and Fellows of Harvard College All rights reserved Printed in the United States of America LIBRARY OF CONGRESS CATALOGING-IN-PUBLICATION DATA Latour, Bruno. Pandora's hope: essays on the reality of science studies I Bruno Latour p. cm. Includes b...","All rights reserved Printed in the United States of America LIBRARY OF CONGRESS CATALOGING-IN-PUBLICATION DATA Latour, Bruno. Pandora's hope: essays on the reality of science studies I Bruno Latour p. cm. Includes bibliographical references and index. ISBN 0-674-65335-1 (alk:. pa...","ed in the United States of America LIBRARY OF CONGRESS CATALOGING-IN-PUBLICATION DATA Latour, Bruno. Pandora's hope: essays on the reality of science studies I Bruno Latour p. cm. Includes bibliographical references and index. ISBN 0-674-65335-1 (alk:. paper). - ISBN 0-674-65336-...",,,,
latour_1999_pandora_en,126,paratexto,paratexto,boa,438,"FROM FAB R I C ATI O N TO REALITY 11 5 weapons in a polarized battle against truth and reality. All too often the implication is that if something is fabricated it is false ; likewise, if it is constructed it must also be deconstructible. These are the main reasons why the more w...","own to us, if we really wish to understand sci ence in action. This reconfiguration is what I hope to accomplish in this chapter by visiting yet another empirical site, this time Louis Pas teur's laboratory. Let us follow in some detail the ""Memoire sur la fer mentation appelee l...","umans? Thus to the ontological drama is added an epistemological one. We will be able to see, using Pasteur's own words, how a scientist solves for himself and for us two of the ba sic problems of science studies. First let us turn to the uplifting story of Cinderella-the-yeast. ...",,,,
latour_1999_pandora_en,265,paratexto,paratexto,boa,469,"PA N D O R A ' S HOPE 2 54 impossible requirements-the whole thing ending, as we know, in the afterworld of shadows. Quite a feat ! And one that, in my view, should be met with grinding of teeth rather than cheers of admiration. Gorgias, the first to enter the scene, is easily pa...","ed an enormously long conditioning to see this question as crucially important. Even if morality were taken as nothing more than a sort of basic ethological aptitude of primates in groups, it would still be pretty close to such an assessment. The only thing Socrates adds to turn ...","g we do is the opposite of what you imply we should be doing"" (481c) . It is great luck for Socrates that Plato hands him foils like this one, because, without the Sophists' indignation, what Socrates says and what the common people say would be undistinguishable. As is usual wit...",,,,
latour_1999_pandora_en,316,paratexto,paratexto,boa,414,GLOSSARY 305 CONCRESCENCE: A term employed by Whitehead to designate an event* without using the Kantian idiom of the phenomenon*. Concrescence is not an act of knowledge applying human categories to indifferent stuff out there but a modification of all the components or circumst...,"f the hu man position in the world but a recentering of the object around the human ability to know. The expression ""counter-Copernican revolution"" thus com bines two metaphors, one from astronomy and one from political upheaval, to refer to the movement away from all sorts of an...","use the word ""differentiation"" instead. Differentiation does not require the generation of one normative distinction between science and nonscience, but allows for many differences, making possible a much finer normative judgment that does not rely on the weaknesses of the modern...",,,,
latour_1999_pandora_en,1,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1999_pandora_en,336,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1999_pandora_en,5,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
